respID,qID,altID,type,amount_nonSalesTax,amount_salesTax,timing_taxCredit,timing_rebate,source_rebate,source,respondentID,choice,maxSalestax
548,1,1,rebate,5500,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,4,rebate,5500,0.5,tax_filing,0,government,survey_refac,548,NA,NA
NA,1,4,rebate,5500,0.5,tax_filing,0,government,choiceData,548,0,2625
NA,1,4,rebate,5500,0.5,tax_filing,0,government,choiceData,548,1,3000
NA,1,4,rebate,5500,0.5,tax_filing,0,government,choiceData,548,1,2625
NA,1,4,rebate,5500,0.5,tax_filing,0,government,choiceData,548,1,750
NA,1,4,rebate,5500,0.5,tax_filing,0,government,choiceData,548,1,1125
548,1,2,salesTax,7500,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,1,salesTax,7500,0.5,tax_filing,0,government,survey_refac,548,NA,NA
NA,1,1,salesTax,7500,0.5,tax_filing,0,government,choiceData,548,0,2625
NA,1,1,salesTax,7500,0.5,tax_filing,0,government,choiceData,548,0,3000
NA,1,1,salesTax,7500,0.5,tax_filing,0,government,choiceData,548,0,2625
NA,1,1,salesTax,7500,0.5,tax_filing,0,government,choiceData,548,0,750
NA,1,1,salesTax,7500,0.5,tax_filing,0,government,choiceData,548,0,1125
548,1,3,taxCredit,4000,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,2,taxCredit,4000,0.5,tax_filing,0,government,survey_refac,548,NA,NA
NA,1,2,taxCredit,4000,0.5,tax_filing,0,government,choiceData,548,1,2625
NA,1,2,taxCredit,4000,0.5,tax_filing,0,government,choiceData,548,0,3000
NA,1,2,taxCredit,4000,0.5,tax_filing,0,government,choiceData,548,0,2625
NA,1,2,taxCredit,4000,0.5,tax_filing,0,government,choiceData,548,0,750
NA,1,2,taxCredit,4000,0.5,tax_filing,0,government,choiceData,548,0,1125
548,1,4,taxDeduction,2500,0.5,tax_filing,0,government,raw_survey,NA,NA,NA
NA,1,3,taxDeduction,2500,0.5,tax_filing,0,government,survey_refac,548,NA,NA
NA,1,3,taxDeduction,2500,0.5,tax_filing,0,government,choiceData,548,0,2625
NA,1,3,taxDeduction,2500,0.5,tax_filing,0,government,choiceData,548,0,3000
NA,1,3,taxDeduction,2500,0.5,tax_filing,0,government,choiceData,548,0,2625
NA,1,3,taxDeduction,2500,0.5,tax_filing,0,government,choiceData,548,0,750
NA,1,3,taxDeduction,2500,0.5,tax_filing,0,government,choiceData,548,0,1125
548,2,1,rebate,2000,1,immediate,0,dealer,raw_survey,NA,NA,NA
NA,2,4,rebate,2000,1,immediate,0,dealer,survey_refac,548,NA,NA
NA,2,4,rebate,2000,1,immediate,0,dealer,choiceData,548,0,2625
NA,2,4,rebate,2000,1,immediate,0,dealer,choiceData,548,0,3000
NA,2,4,rebate,2000,1,immediate,0,dealer,choiceData,548,0,2625
NA,2,4,rebate,2000,1,immediate,0,dealer,choiceData,548,1,750
NA,2,4,rebate,2000,1,immediate,0,dealer,choiceData,548,1,1125
548,2,2,salesTax,2000,1,immediate,0,dealer,raw_survey,NA,NA,NA
NA,2,1,salesTax,2000,1,immediate,0,dealer,survey_refac,548,NA,NA
NA,2,1,salesTax,2000,1,immediate,0,dealer,choiceData,548,1,2625
NA,2,1,salesTax,2000,1,immediate,0,dealer,choiceData,548,1,3000
NA,2,1,salesTax,2000,1,immediate,0,dealer,choiceData,548,1,2625
NA,2,1,salesTax,2000,1,immediate,0,dealer,choiceData,548,0,750
NA,2,1,salesTax,2000,1,immediate,0,dealer,choiceData,548,0,1125
548,2,3,taxCredit,1000,1,immediate,0,dealer,raw_survey,NA,NA,NA
NA,2,2,taxCredit,1000,1,immediate,0,dealer,survey_refac,548,NA,NA
NA,2,2,taxCredit,1000,1,immediate,0,dealer,choiceData,548,0,2625
NA,2,2,taxCredit,1000,1,immediate,0,dealer,choiceData,548,0,3000
NA,2,2,taxCredit,1000,1,immediate,0,dealer,choiceData,548,0,2625
NA,2,2,taxCredit,1000,1,immediate,0,dealer,choiceData,548,0,750
NA,2,2,taxCredit,1000,1,immediate,0,dealer,choiceData,548,0,1125
548,2,4,taxDeduction,1000,1,immediate,0,dealer,raw_survey,NA,NA,NA
NA,2,3,taxDeduction,1000,1,immediate,0,dealer,survey_refac,548,NA,NA
NA,2,3,taxDeduction,1000,1,immediate,0,dealer,choiceData,548,0,2625
NA,2,3,taxDeduction,1000,1,immediate,0,dealer,choiceData,548,0,3000
NA,2,3,taxDeduction,1000,1,immediate,0,dealer,choiceData,548,0,2625
NA,2,3,taxDeduction,1000,1,immediate,0,dealer,choiceData,548,0,750
NA,2,3,taxDeduction,1000,1,immediate,0,dealer,choiceData,548,0,1125
